,anti-asian,anti-black,anti-catholic,anti-lesbian,anti-hindu,anti-muslim,anti-jewish,anti-gay,anti-other ethnicity,anti-transgender,anti-white,total,period,60 years old or more,anti-arab,anti-female,anti-gender non-conforming,anti-hispanic,anti-lgbt,anti-multi racial groups,anti-religious practice generally,anti-sikh,anti-eastern orthodox,anti-jehovahs witness,anti-buddhist,anti-protestant
0,11.0,12.0,1.0,1.0,1.0,1.0,45.0,5.0,3.0,2.0,2.0,84.0,"2020, Q1",,,,,,,,,,,,,
1,8.0,5.0,3.0,2.0,1.0,0.0,15.0,4.0,1.0,1.0,2.0,46.0,"2020, Q2",1.0,1.0,0.0,2.0,0.0,,,,,,,,
2,4.0,16.0,3.0,,,,28.0,8.0,1.0,2.0,5.0,75.0,"2020, Q3",,,,,,4.0,2.0,2.0,,,,,
3,3.0,8.0,1.0,1.0,,3.0,28.0,8.0,1.0,,1.0,60.0,"2020, Q4",,,5.0,,1.0,,,,,,,,
4,42.0,12.0,,1.0,,1.0,27.0,4.0,2.0,2.0,,,"2021, Q1",,,3.0,,1.0,1.0,,,,,,,
5,63.0,17.0,4.0,0.0,,5.0,85.0,29.0,2.0,6.0,10.0,,"2021, Q2",,,0.0,2.0,2.0,1.0,,,,,,,
6,20.0,7.0,4.0,2.0,,4.0,38.0,27.0,3.0,4.0,2.0,,"2021, Q3",,1.0,0.0,1.0,1.0,0.0,,,,,,,
7,13.0,9.0,1.0,1.0,,2.0,57.0,13.0,3.0,3.0,8.0,,"2021, Q4",,0.0,0.0,0.0,2.0,0.0,,,,,,,
8,17.0,20.0,3.0,1.0,,3.0,67.0,15.0,7.0,4.0,1.0,,"2022, Q1",,,,,2.0,,,2.0,,,,,
9,20.0,11.0,3.0,,,14.0,64.0,24.0,9.0,2.0,0.0,,"2022, Q2",,,,,6.0,,,0.0,2.0,,,,
10,21.0,11.0,,5.0,3.0,,47.0,18.0,14.0,2.0,6.0,,"2022, Q3",,,,,1.0,,,,,2.0,1.0,,
11,5.0,7.0,6.0,1.0,,,59.0,6.0,8.0,4.0,3.0,,"2022, Q4",,,,,5.0,,,1.0,,,,1.0,1.0
12,6.0,10.0,4.0,2.0,,1.0,60.0,11.0,4.0,3.0,7.0,,"2023, Q1",,,,1.0,1.0,,,,,,1.0,,
13,13.0,10.0,1.0,1.0,,5.0,48.0,19.0,8.0,8.0,2.0,,"2023, Q2",,,,1.0,4.0,,,,,,,,
14,12.0,13.0,1.0,2.0,,2.0,38.0,22.0,3.0,3.0,5.0,,"2023, Q3",,,,,4.0,,,,,,,,1.0
15,7.0,14.0,2.0,2.0,,18.0,162.0,24.0,13.0,1.0,4.0,,"2023, Q4",,,,1.0,5.0,,,,3.0,,,1.0,
16,8.0,11.0,2.0,2.0,,6.0,81.0,11.0,7.0,3.0,1.0,,"2024, Q1",,,,0.0,1.0,,,,1.0,,,1.0,1.0
Total,546.0,386.0,78.0,48.0,10.0,130.0,1898.0,496.0,178.0,100.0,118.0,530.0,"2020, Q12020, Q22020, Q32020, Q42021, Q12021, Q22021, Q32021, Q42022, Q12022, Q22022, Q32022, Q42023, Q12023, Q22023, Q32023, Q42024, Q12020, Q12020, Q22020, Q32020, Q42021, Q12021, Q22021, Q32021, Q42022, Q12022, Q22022, Q32022, Q42023, Q12023, Q22023, Q32023, Q42024, Q1",2.0,4.0,16.0,16.0,72.0,12.0,4.0,10.0,12.0,4.0,4.0,6.0,6.0
